Id,Label,Type,Occurrences Count,Chapter Title,AR,WG
chapter1_71081bfd739de13758d49eb4846ae9bb,ar1.wg1.1,Chapter 1,10,Greenhouse Gases and AER,AR1,WG1
chapter1_c398448194c0dc810f4a60d117e06bab,ar1.wg1.10,Chapter 1,15,Effects on Ecosystems,AR1,WG1
chapter1_5bf2d595353fcdb4a84204fd0b4a82b1,ar1.wg1.11,Chapter 1,1,Narrowing the Uncertainties,AR1,WG1
chapter1_66395b0b0747d140e48543b4373c6fa3,ar1.wg1.12,Chapter 1,22,Annex,AR1,WG1
chapter1_f74d1601c4524477e684322182ea3473,ar1.wg1.2,Chapter 1,4,Radiative Forcing of Climate,AR1,WG1
chapter1_79540681ddf16b81a460f4b05fed22f8,ar1.wg1.3,Chapter 1,1,Processes and Modelling,AR1,WG1
chapter1_ca534c594f90c673b3a505b232bf7cf1,ar1.wg1.4,Chapter 1,12,Validation of Climate Models,AR1,WG1
chapter1_ff9a1f35e614ad1eeab9b62fdf729b72,ar1.wg1.5,Chapter 1,16,Equilibrium Climate Change,AR1,WG1
chapter1_81f140d66d0cbc98dea9a815dcd5dd32,ar1.wg1.6,Chapter 1,2,Time-Dependent Greenhouse Gas Induced Climate Change,AR1,WG1
chapter1_259da700355d06fae769587c6de79bac,ar1.wg1.7,Chapter 1,28,Observed Climate Variations and Change,AR1,WG1
chapter1_bbac3009ad0849f477681ebb5f97ec90,ar1.wg1.8,Chapter 1,12,Detection of the Greenhouse Effect in the Observations,AR1,WG1
chapter1_269fc409b0aae8b4bbff1ada5cb72ad4,ar1.wg1.9,Chapter 1,12,Sea Level Rise,AR1,WG1
chapter1_d4df53af9468099b32a0939c6dafad23,ar1.wg2.2,Chapter 1,3,Agriculture and Forestry,AR1,WG2
chapter1_aa9fcea39511a2444a474ffc0ae624aa,ar1.wg2.5,Chapter 1,1,Human Settlement; the Energy Transport and Industrial sectors; Human Health; Air quality and Changes in Ultraviolet-B Radiation,AR1,WG2
chapter1_4f138f9b797bf8ad61781630dd727775,ar2.wg1.1,Chapter 1,1,The Climate System: an Overview,AR2,WG1
chapter1_e9af2f4272271a53495e269a188ed446,ar2.wg1.10,Chapter 1,4,Marine Biotic Responses to Environmental Change and Feedbacks to Climate,AR2,WG1
chapter1_f772ecace0b555a42538fef658caceb0,ar2.wg1.11,Chapter 1,4,Advancing our Understanding,AR2,WG1
chapter1_8ccfc19bbb3babc3c783ed7f7dbb814f,ar2.wg1.2,Chapter 1,13,Radiative Forcing of Climate Change,AR2,WG1
chapter1_4bebf35e2ae7d4b54089fb798213b81f,ar2.wg1.3,Chapter 1,31,Observed Climate Variability and Change,AR2,WG1
chapter1_d54e8a9d461b22394d2270dff01b064d,ar2.wg1.4,Chapter 1,1,Climate Processes,AR2,WG1
chapter1_da70f8a0a8f9edefa6de54a42b34f35a,ar2.wg1.5,Chapter 1,10,Climate Models - Evaluation,AR2,WG1
chapter1_9fed40b88b125eaed188d9b92525c922,ar2.wg1.6,Chapter 1,27,Climate Models – Projections for the Future,AR2,WG1
chapter1_15e728ad46ca55e6f9c541517f8831a5,ar2.wg1.7,Chapter 1,7,Changes in Sea Level,AR2,WG1
chapter1_2d56f1d143f1d7e73a994f0ea60f200a,ar2.wg1.8,Chapter 1,22,Detection of Climate Change and Attribution of Causes,AR2,WG1
chapter1_fda1e2c290332654a6622c697da6fa00,ar2.wg1.9,Chapter 1,19,Terrestrial Biotic Responses to Environmental Change and Feedbacks to Climate,AR2,WG1
chapter1_c1ac159a9658d9638e7a3ba256548337,ar2.wg1.ts,Chapter 1,19,Technical Summary,AR2,WG1
chapter1_e7b02736a74feaf4102ee2d86327b2f8,ar2.wg2.1,Chapter 1,1,Climate Change Impacts on Forests,AR2,WG2
chapter1_469c58a5c512ab01d1fe267f52241269,ar2.wg2.11,Chapter 1,8,"Industry, Energy and Transportation: Impacts and Adaptation",AR2,WG2
chapter1_fb389b7bc3d2060cb3a400f31cea3e7c,ar2.wg2.12,Chapter 1,6,Human Settlements in a Changing Climate: Impacts and Adaptation,AR2,WG2
chapter1_c95e0f89302d7f467b23874c16aabcbe,ar2.wg2.13,Chapter 1,3,Agriculture in a Changing Climate: Impacts and Adaptation,AR2,WG2
chapter1_974f37033af3f34b05053db198e5d9d0,ar2.wg2.15,Chapter 1,4,Wood Production under Changing Climate and Land Use,AR2,WG2
chapter1_d60ff026f29758fd9cd77dadf92a4715,ar2.wg2.19,Chapter 1,34,Energy Supply Mitigation Options,AR2,WG2
chapter1_995664804c4507b7e914666c094e6e2c,ar2.wg2.2,Chapter 1,1,"Rangelands in a Changing Climate: Impacts, Adaptations and Mitigation",AR2,WG2
chapter1_32ab511e69956f217c022a2cc754b910,ar2.wg2.20,Chapter 1,5,Industry,AR2,WG2
chapter1_5b81be72bcc349c06c7e4cdc632c7d6c,ar2.wg2.21,Chapter 1,17,Mitigation Options in the Transportation Sector,AR2,WG2
chapter1_2403546232534aba152b6991b7d8f841,ar2.wg2.22,Chapter 1,9,Mitigation Options for Human Settlements,AR2,WG2
chapter1_1cd1b02880037dc23b2541dfaca7fe6f,ar2.wg2.23,Chapter 1,1,Agricultural Options for Mitigation of Greenhouse Gas Emissions,AR2,WG2
chapter1_84c31ee60fc3f15c3b3b18a75990430e,ar2.wg2.24,Chapter 1,13,Management of Forests for Mitigation of Greenhouse Gas Emissions,AR2,WG2
chapter1_8c18e9a37e3565a1043321ad4cddbe94,ar2.wg2.25,Chapter 1,8,Mitigation: Cross-Sectoral and Other Issues,AR2,WG2
chapter1_fbd9c15ffa9a5ab60df8f321afc6046a,ar2.wg2.26,Chapter 1,1,Technical Guidelines for Assessing Climate Change Impacts and Adaptation,AR2,WG2
chapter1_99a537cb582c2ab4a6ca81cb4da85655,ar2.wg2.27,Chapter 1,16,Methods for Assessment of Mitigation Options,AR2,WG2
chapter1_8ac53e324e712a338244ced3a9ad7569,ar2.wg2.28,Chapter 1,2,"Inventory of Technologies, Methods and Practices",AR2,WG2
chapter1_cf9546e8baeba2422612ece43f692acb,ar2.wg2.7,Chapter 1,3,The CryosphereL Changes and their Impacts,AR2,WG2
chapter1_df41532b3b20b53af9717b88144c04e8,ar2.wg2.b,Chapter 1,21,Energy Primer,AR2,WG2
chapter1_74e8527b8179a93b8810ea27014a2731,ar2.wg2.ts,Chapter 1,60,Technical Summary,AR2,WG2
chapter1_b444132e726adcc80f121478f078440d,ar3.wg1.1,Chapter 1,2,The Climate System: an Overview,AR3,WG1
chapter1_e9d7887076d8818127ab095f249ba211,ar3.wg1.10,Chapter 1,32,Regional Climate Information – Evaluation and Projections,AR3,WG1
chapter1_a5b8bec3e5206f2c46b3629d531c39d4,ar3.wg1.11,Chapter 1,40,Changes in Sea Level,AR3,WG1
chapter1_0ed29691f7f12380dcff5e55be483b1d,ar3.wg1.12,Chapter 1,24,Detection of Climate Change and Attribution of Causes,AR3,WG1
chapter1_eb59c47ef04667898c4c0e60341a47fc,ar3.wg1.13,Chapter 1,37,Climate Scenario Development,AR3,WG1
chapter1_9af9a231940bb1db445a895e43ed912d,ar3.wg1.14,Chapter 1,8,Advancing our Understanding,AR3,WG1
chapter1_c21ff126549836d4828797b36f4e4ba6,ar3.wg1.2,Chapter 1,45,Observed Climate Variability and Change,AR3,WG1
chapter1_0bf4958e83d2219611f2722996eb1200,ar3.wg1.3,Chapter 1,21,The Carbon Cycle and Atmospheric Carbon Dioxide,AR3,WG1
chapter1_24253a9ee572f239100e51f18b2c40d3,ar3.wg1.4,Chapter 1,18,Atmospheric Chemistry and Greenhouse Gases,AR3,WG1
chapter1_616102a4ac3d8afc39ee7584c1cc6469,ar3.wg1.6,Chapter 1,13,Radiative Forcing of Climate Change,AR3,WG1
chapter1_fc415fe6e3a3a9ab8b99ae86cb771d64,ar3.wg1.7,Chapter 1,9,Physical Climate Processes and Feedbacks,AR3,WG1
chapter1_93127a695130a4094c7ff4447970c8bd,ar3.wg1.8,Chapter 1,15,Model Evaluation,AR3,WG1
chapter1_103f0f0ae15e03999f368a8ad6d7c9fc,ar3.wg1.9,Chapter 1,18,Projections of Future Climate Change,AR3,WG1
chapter1_8da1d109ac1ec66f356ebb0ee61f20fb,ar3.wg1.ts,Chapter 1,36,Technical Summary,AR3,WG1
chapter1_88b36a3dbe85da4b1409934e1ce1d96b,ar3.wg2.1,Chapter 1,8,"Overview of Impacts, Adaptation and Vulnerability to Climate Change",AR3,WG2
chapter1_1bfe0c2f8bb5263fd730f11df9aea614,ar3.wg2.10,Chapter 1,4,Africa,AR3,WG2
chapter1_1afbef9a65d6ed2fe195933d89115a1e,ar3.wg2.11,Chapter 1,2,Asia,AR3,WG2
chapter1_cf1d53f0a9c1cb026b4cdde3095a6bc8,ar3.wg2.12,Chapter 1,2,Australia and New Zealand,AR3,WG2
chapter1_df28475491677c9922602dab2cc2c84c,ar3.wg2.14,Chapter 1,1,Latin America,AR3,WG2
chapter1_9c75c4c7495a80e3a643dc4cd1993578,ar3.wg2.15,Chapter 1,2,North America,AR3,WG2
chapter1_2fa1b9143ea237adde973845433709b9,ar3.wg2.17,Chapter 1,1,Small Island States,AR3,WG2
chapter1_a982ed0e093e4cb236daf4b8104cdc9f,ar3.wg2.19,Chapter 1,12,Vulnerability to Climate Change and Reasons for Concern: A Synthesis,AR3,WG2
chapter1_01d31edc7c68114c7343b16f129131f7,ar3.wg2.2,Chapter 1,13,Methods and Tools,AR3,WG2
chapter1_f7b07d13632add86267f0f5c967e3349,ar3.wg2.3,Chapter 1,13,Developing and Applying Scenarios,AR3,WG2
chapter1_604d8293815a8a639129e90e509dbd2e,ar3.wg2.5,Chapter 1,5,Ecosystems and Their Goods and Services,AR3,WG2
chapter1_1cac13091a053f119f296529cf8c2d21,ar3.wg2.6,Chapter 1,1,Coastal Zones and Marine Ecosystems,AR3,WG2
chapter1_c7d079a6ba78ccea7ad5f95070f0f0b1,ar3.wg2.7,Chapter 1,2,"Human Settlements, Energy and Industry",AR3,WG2
chapter1_03e733a9e3ba913de7d1e3275e6d599c,ar3.wg2.spm,Chapter 1,5,Summary For Policy Makers,AR3,WG2
chapter1_78a6d0dff2738959cdfe587a489771df,ar3.wg2.ts,Chapter 1,6,Technical Summary,AR3,WG2
chapter1_52703001078e8f4fcfb93eb2701d7927,ar4.wg1.1,Chapter 1,15,Historical Overview of Climate Change Science,AR4,WG1
chapter1_1fc90e5cfddfc109d5d6ab7e3e65995c,ar4.wg1.10,Chapter 1,28,Global Climate Projections,AR4,WG1
chapter1_6ea2d10f53c9df82214e0c0946fe5cfa,ar4.wg1.11,Chapter 1,28,Regional Climate Projections,AR4,WG1
chapter1_2391a8e19465b5ed441a9aa87016b8e8,ar4.wg1.2,Chapter 1,5,Changes in Atmospheric Constituents and Radiative Forcing,AR4,WG1
chapter1_0118d567bd1d93a2d0424be2044ba736,ar4.wg1.3,Chapter 1,16,Observations: Atmospheric Surface and Climate Change,AR4,WG1
chapter1_1c229089cb75c9ea60c83a05ae963cff,ar4.wg1.4,Chapter 1,25,"Observations: Changes in Snow, Ice and Frozen Ground",AR4,WG1
chapter1_1a124e6c775e2404765ec818abbde11f,ar4.wg1.5,Chapter 1,6,Observations: Ocean Climate Change and Sea Level,AR4,WG1
chapter1_fdfe2a41f2a0564665c6fa7a1d6e8cfc,ar4.wg1.6,Chapter 1,2,Paleoclimate,AR4,WG1
chapter1_665686521e50f7502dee6b8defadeeb7,ar4.wg1.7,Chapter 1,3,Coupling Between Changes in the Climate System and Biogeochemistry,AR4,WG1
chapter1_cbb9f407e9bed2f3526517c6ce377675,ar4.wg1.8,Chapter 1,10,Climate Models and their Evaluation,AR4,WG1
chapter1_36b4b01c4f5a0b887d3f4f2e17a20397,ar4.wg1.9,Chapter 1,10,Understanding and Attributing Climate Change,AR4,WG1
chapter1_fcfc54587f9cb48a7e612f23c3214898,ar4.wg1.spm,Chapter 1,10,Summary For Policy Makers,AR4,WG1
chapter1_e320c4b2a76f007d33ef2b92e0871599,ar4.wg1.ts,Chapter 1,10,Technical Summary,AR4,WG1
chapter1_e4ab12499430141ff43809f9cb8c5998,ar4.wg2.1,Chapter 1,2,Assessment of Observed Changes and Responses in Natural and Managed Systems,AR4,WG2
chapter1_f9899c6bb02d737ab9b460e28437de98,ar4.wg2.10,Chapter 1,1,Asia,AR4,WG2
chapter1_da5c1824774ac84e35df9b019011470c,ar4.wg2.11,Chapter 1,1,Australia and New Zealand,AR4,WG2
chapter1_73321cda4a91546fd5ba7c2b1ee48a7a,ar4.wg2.12,Chapter 1,1,Europe,AR4,WG2
chapter1_3f4a0285ce23b23dfdc6ff2a19b3ca1b,ar4.wg2.14,Chapter 1,1,North America,AR4,WG2
chapter1_958feb7f3352cc738fab4ee37f6c6b48,ar4.wg2.17,Chapter 1,11,"Assessment of adaptation practices, options, constraints and capacity",AR4,WG2
chapter1_f1b8744ab4605c7f6cbb3a742169cd23,ar4.wg2.18,Chapter 1,19,Inter-relationships between adaptation and mitigation,AR4,WG2
chapter1_f2724e1a6a1480c06ca2ed77904d944e,ar4.wg2.19,Chapter 1,5,Assessing key vulnerabilities and the risk from climate change,AR4,WG2
chapter1_e3b26b2a7519efd631eddc86921d9a87,ar4.wg2.2,Chapter 1,5,New Assessment methods and the characterization of future conditions,AR4,WG2
chapter1_28fd55cd52237c6f47f1cf054565776a,ar4.wg2.20,Chapter 1,4,Perspectives on climate change and sustainability,AR4,WG2
chapter1_73817015a695e79da655a7ff3d921953,ar4.wg2.4,Chapter 1,1,"Ecosystems, their properties, goods and services",AR4,WG2
chapter1_f5981e469b1ba8a9103aa5b05a37a93f,ar4.wg2.5,Chapter 1,4,"Food, Fibre and Forest Products",AR4,WG2
chapter1_fed9968b9bf294aa4db6aa3c976370e1,ar4.wg2.6,Chapter 1,1,Coastal Systems and low-lying areas,AR4,WG2
chapter1_919c54d0d99b6cd17b88236766928464,ar4.wg2.7,Chapter 1,2,"Industry, settlements and society",AR4,WG2
chapter1_3aeadc2224fc522cfe2c0e397cf98b44,ar4.wg2.8,Chapter 1,2,Human Health,AR4,WG2
chapter1_348a30bcae1ecbb54e3d5c4b72837ab1,ar4.wg2.9,Chapter 1,1,Africa,AR4,WG2
chapter1_ab51e9fddcc9253f29af20aa8fc180f2,ar4.wg2.spm,Chapter 1,1,Summary For Policy Makers,AR4,WG2
chapter1_9518106a76b4237c7b5b8465ac34057d,ar4.wg2.ts,Chapter 1,1,Technical Summary,AR4,WG2
chapter1_cdeb8b58df94195333d8d0822118de1a,ar5.wg1.1,Chapter 1,7,Introduction,AR5,WG1
chapter1_13deb0cc50a1e829531be0269641577e,ar5.wg1.10,Chapter 1,2,Detection and Attribution of Climate Change: from Global to Regional,AR5,WG1
chapter1_26fb8c15de346c4c2ff4e6c5f5ba1d3f,ar5.wg1.11,Chapter 1,8,Near-term Climate Change: Projections and Predictability,AR5,WG1
chapter1_c87504e8fbcd528f35a98fc4bd04142b,ar5.wg1.12,Chapter 1,13,"Long-term Climate Change: Projections, Commitments and Irreversibility",AR5,WG1
chapter1_2aa2df0e44a12237bb7aae22b96fb6a9,ar5.wg1.13,Chapter 1,10,Sea Level Change,AR5,WG1
chapter1_fe2660d773eb9782b0f65e9d1543c639,ar5.wg1.14,Chapter 1,11,Climate Phenomena and their Relevance for Future Regional Climate Change,AR5,WG1
chapter1_0f82b5b5bc0f338d911a983b069bc5dc,ar5.wg1.2,Chapter 1,5,Observations: Atmosphere and Surface,AR5,WG1
chapter1_d8f859458741597253d547b641ae6bae,ar5.wg1.3,Chapter 1,7,Observations: Ocean,AR5,WG1
chapter1_3a376ff1ff2186fed4ef320631f3cb56,ar5.wg1.4,Chapter 1,9,Observations: Cryosphere,AR5,WG1
chapter1_008bbaa2fcba55e4dbbdba381af63a10,ar5.wg1.6,Chapter 1,2,Carbon and Other biogeochemical Cycles,AR5,WG1
chapter1_8617411cca1c3be0c4541715f40dd496,ar5.wg1.8,Chapter 1,1,Anthropogenic and Natural Radiative Forcing,AR5,WG1
chapter1_5a01020424692ac9fe7d536ce0cacf08,ar5.wg1.spm,Chapter 1,1,Summary For Policy Makers,AR5,WG1
chapter1_c88909b37337833076b578c8ce93de8a,ar5.wg2.1,Chapter 1,1,Point of Departure,AR5,WG2
chapter1_06ab1602682a26489ff425896820b8ec,ar5.wg2.10,Chapter 1,8,Key Economic Sectors and Services,AR5,WG2
chapter1_cf5f8f887602b0fbffb365af5b76ac39,ar5.wg2.14,Chapter 1,1,Adaptation needs and options,AR5,WG2
chapter1_b44185ef8da0ef61874672b0531c40ae,ar5.wg2.17,Chapter 1,9,Economics of Adaptation,AR5,WG2
chapter1_cb6dae0f3fda8123ab27ab0d08d2edf4,ar5.wg2.19,Chapter 1,4,Emergent Risks and Key Vulnerabilities,AR5,WG2
chapter1_aa1f38f75d014b2909ca583dbbbb5131,ar5.wg2.25,Chapter 1,1,Australiasia,AR5,WG2
chapter1_3421dec0b05617fcff51672b74b52545,ar5.wg2.4,Chapter 1,1,Terrestrial and Inland water Systems,AR5,WG2
chapter1_3b3d8ee6a081472229d6adaf30183f58,ar5.wg2.7,Chapter 1,1,Food Production systems and Food Security,AR5,WG2
chapter1_3bed7f42e5630fe615a623105e902d30,ar5.wg2.spm,Chapter 1,1,Summary For Policy Makers,AR5,WG2
chapter2_d4df53af9468099b32a0939c6dafad23,ar1.wg2.2,Chapter 2,2,Agriculture and Forestry,AR1,WG2
chapter2_dfe926dd2c08d05b6bcfe471e820dfc6,ar1.wg2.3,Chapter 2,1,Natural terrestrial Ecosystems,AR1,WG2
